Miami University,3.78,19452,74.6,english,finance,computer science
Ohio State University,3.83,66444,52,finance,physics,creative writing
Michigan State University,3.75,50344,77.7,mathematics,biology,kinesiology
Ohio University,3.54,29217,78.3,zoology,chemistry,finance
Boston University,3.71,32551,22.1,mechanical engineering,economics,biology
